model	dataset	median_response_time	total_score	available_score	percentage_score
gpt-3.5-turbo	train	5.222760081291199	53.0	298	17.78523489932886
gpt-3.5-turbo	test	8.425750255584717	60.0	296	20.27027027027027
insolvency_bot_with_gpt-3.5-turbo	train	5.474655866622925	85.0	298	28.523489932885905
insolvency_bot_with_gpt-3.5-turbo	test	9.466623902320862	87.5	296	29.56081081081081
gpt-4	train	21.64164924621582	86.5	298	29.026845637583893
gpt-4	test	33.47965955734253	61.5	296	20.777027027027025
insolvency_bot_with_gpt-4	train	33.8770387172699	107.5	298	36.07382550335571
insolvency_bot_with_gpt-4	test	52.64438033103943	139.0	296	46.95945945945946
gpt-4o	train	4.615739822387695	71.0	298	23.825503355704697
gpt-4o	test	4.961722254753113	63.0	296	21.283783783783782
insolvency_bot_with_gpt-4o	train	6.922881841659546	169.0	298	56.711409395973156
insolvency_bot_with_gpt-4o	test	6.38047993183136	163.5	296	55.23648648648649
insolvency_bot_with_gpt-4.5-preview-2025-02-27	train	100.68786156177521	195.5	298	65.60402684563759
insolvency_bot_with_gpt-4.5-preview-2025-02-27	test	106.5831274986267	217.0	296	73.3108108108108
gemini-2.0-pro-exp-02-05	train	21.64257228374481	110.0	298	36.91275167785235
gemini-2.0-pro-exp-02-05	test	22.58058536052704	130.5	296	44.08783783783784
insolvency_bot_with_gemini-2.0-pro-exp-02-05	train	28.227246642112732	221.0	298	74.16107382550335
insolvency_bot_with_gemini-2.0-pro-exp-02-05	test	28.262326836586	215.0	296	72.63513513513513
claude-3-5-sonnet-20241022	train	6.106886982917786	83.0	298	27.85234899328859
claude-3-5-sonnet-20241022	test	5.803005933761597	77.0	296	26.013513513513516
insolvency_bot_with_claude-3-5-sonnet-20241022	train	13.166245460510254	176.0	298	59.06040268456376
insolvency_bot_with_claude-3-5-sonnet-20241022	test	12.852270603179932	184.5	296	62.33108108108109
llama3.1-70b	train	5.118427157402039	69.0	298	23.154362416107382
llama3.1-70b	test	4.976306676864624	77.5	296	26.182432432432435
insolvency_bot_with_llama3.1-70b	train	6.8157570362091064	129.0	298	43.288590604026844
insolvency_bot_with_llama3.1-70b	test	7.436111330986023	155.0	296	52.36486486486487
DeepSeek-R1	train	75.46887075901031	113.5	298	38.08724832214765
DeepSeek-R1	test	81.46266889572144	91.5	296	30.91216216216216
insolvency_bot_with_DeepSeek-R1	train	544.6935482025146	141.0	298	47.31543624161073
insolvency_bot_with_DeepSeek-R1	test	107.65784239768982	212.5	296	71.79054054054053
Mistral-Large-2411	train	73.68210756778717	109.0	298	36.577181208053695
Mistral-Large-2411	test	71.44218325614929	100.0	296	33.78378378378378
insolvency_bot_with_Mistral-Large-2411	train	76.33712446689606	198.0	298	66.44295302013423
insolvency_bot_with_Mistral-Large-2411	test	86.65537619590759	212.0	296	71.62162162162163
gpt-4.5-preview-2025-02-27	train	77.04324853420258	87.5	298	29.36241610738255
gpt-4.5-preview-2025-02-27	test	59.87925612926483	88.0	296	29.72972972972973
