question_no	max_points_available	gpt-3.5-turbo	insolvency_bot_with_gpt-3.5-turbo	gpt-4	insolvency_bot_with_gpt-4	gpt-4o	insolvency_bot_with_gpt-4o	gemini-2.0-pro-exp-02-05	insolvency_bot_with_gemini-2.0-pro-exp-02-05	claude-3-5-sonnet-20241022	insolvency_bot_with_claude-3-5-sonnet-20241022	llama3.1-70b	insolvency_bot_with_llama3.1-70b	DeepSeek-R1	insolvency_bot_with_DeepSeek-R1	Mistral-Large-2411	insolvency_bot_with_Mistral-Large-2411
Q1	25	1.5	5.0	6.5	3.0	3	13.0	10	13.0	5	15.5	3	19.5	6.0	13.5	4.0	19.5
Q2	25	1.0	3.5	3.5	9.5	5	9.0	3	12.0	3	12.0	3	7.0	3.0	7.0	5.0	12.0
Q3	25	3.5	8.0	4.0	9.5	5	14.0	5	20.0	5	9.5	5	5.0	8.0	12.0	5.0	15.5
Q4	25	8.5	12.0	11.0	10.5	9	14.0	9	14.0	9	12.0	14	13.0	9.0	10.0	10.0	19.0
Q5	25	4.0	6.0	10.0	8.5	6	8.0	6	16.0	6	10.0	3	7.0	8.0	7.0	8.0	12.0
Q6	25	5.5	8.0	10.0	7.0	8	11.0	15	21.0	8	16.0	8	16.0	12.0	10.0	8.0	16.0
Q7	25	4.5	10.5	3.5	9.5	11	19.0	8	19.0	10	19.0	8	16.0	11.0	13.0	14.0	17.0
Q9	25	5.0	5.5	6.5	8.0	3	15.5	14	23.0	10	13.5	6	6.0	11.0	14.0	14.0	22.0
Q10	25	2.5	6.5	10.0	17.0	5	15.5	11	24.0	8	21.5	5	14.5	16.0	13.0	11.0	18.0
Q12	25	7.0	6.0	5.0	8.5	7	19.0	12	25.0	5	16.0	5	8.0	9.5	14.0	8.0	19.0
Q13	22	7.0	6.5	7.0	5.5	6	12.0	6	12.0	6	9.0	6	6.0	6.0	10.5	8.0	9.0
Q14	26	3.0	7.5	9.5	11.0	3	19.0	11	22.0	8	22.0	3	11.0	14.0	17.0	14.0	19.0
TOTAL	298	53.0	85.0	86.5	107.5	71	169.0	110	221.0	83	176.0	69	129.0	113.5	141.0	109.0	198.0
