criterion_no	question_no	points	criterion
1	Q1	3	Does the lawyer mention the key features of a director?
2	Q1	2	Does the lawyer refer to sections 154-155 CA 2006?
3	Q1	3	Does the lawyer identify the criteria for being a director under the law?
4	Q1	2	Does the lawyer refer to sections 250-251 CA 2006?
5	Q1	2	Does the lawyer refer to the circumstances in which a director can be removed from their position?
6	Q1	3	Does the lawyer refer to s.168 CA 2006?
7	Q1	3	Does the lawyer refer to any relevant case law when advice is provided?
8	Q1	1	Does the lawyer ask which form was signed? Does the lawyer say that you need to fill out Companies House Form TM01 to terminate an appointment of a director?
9	Q1	3	Does the lawyer refer to relevant case law?
10	Q1	3	Does the lawyer provide the correct advice?
11	Q2	2	Does the lawyer ask if all companies involved are limited liability companies?
12	Q2	2	Does the lawyer ask which kind of contract the petitioner had with X?
13	Q2	2	Does the lawyer outline the requirements for lifting the corporate veil?
14	Q2	3	Does the lawyer outline what the options are if X enters into a formal insolvency procedure (particularly administration and liquidation)?
15	Q2	3	Does the lawyer mention that employee wages have a preferential treatment in insolvency?
16	Q2	2	Does the lawyer refer to ss.166-184 ERA 1996 and Schedule 6 IA 1986?
17	Q2	3	Does the lawyer mention that occupational or personal pension schemes are protected under the law, and that the employee can claim unpaid contributions to the Secretary of State?
18	Q2	2	Does the lawyer refer to ss.124-126 Pension Schemes Act 1993?
19	Q2	3	Does the lawyer refer to relevant case law?
20	Q2	3	Does the lawyer provide the correct advice?
21	Q3	3	Does the lawyer refer to the relevant statutes (ss. 123-124 IA 1986) to determine if a company (like Company B) is insolvent?
22	Q3	2	Does the lawyer identify the different forms of liquidation, and the circumstances in which a company can be liquidated? 
23	Q3	2	Does the lawyer refer to s. 122 IA 1986? 
24	Q3	3	Does the lawyer identify the powers the courts have when hearing an insolvency petition? 
25	Q3	2	Does the lawyer refer to ss.125-128 IA 1986? 
26	Q3	3	Does the lawyer identify the duties and powers of insolvency practitioners and official receivers? 
27	Q3	2	Does the lawyer refer to ss. 143-146A IA 1986? 
28	Q3	2	Does the lawyer say that the liquidator could settle the dispute with company B and/or the possibility of exploring alternative rescue options (such as a company voluntary arrangement, a scheme of arrangement, a restructuring plan or a light-touch administration procedure (in which the debtor remains the director of their own company during administration)? 
29	Q3	3	Does the lawyer refer to any relevant case law? 
30	Q3	3	Does the lawyer provide the correct advice?
31	Q4	2	Does the lawyer ask which type of bankruptcy procedure has been opened against the director (if any)?
32	Q4	2	Does the lawyer outline the requirements to be appointed as a director under English law?
33	Q4	2	Does the lawyer refer to ss.250-251 IA 1986?
34	Q4	3	Does the lawyer outline the principle of separate legal personality?
35	Q4	3	Does the lawyer outline the exceptions to the principle of separate legal personality?
36	Q4	2	Does the lawyer mention that directors owe fiduciary duties to the company?
