question_no	question_text
Q1	I left a position a couple of months ago after a disagreement with the other director on the direction of the company. I signed a stock transfer form a month ago to return the 5% I had in the business and assumed it was dealt with after I was told it would be filed and I would be removed. Today, the other director dropped the keys for the offices rented by the business and a note saying I was never taken off of the business and to sell all of the assets, close down the business and pay off the debts (along with sending the other director some money). It came a bit out of left field and I'm fairly new to business but I assumed when I signed that form it removed all of my permissions from doing anything with company assets or filings? Any advice would help as I currently don't know what to do other than send the keys back recorded delivery so I cannot be accused of theft or anything.
Q2	Hi, I hope someone can help advise as Citizens advice are a 14 day turn around and I feel so angry and stressed. My partner was working for a subcontractor I will refer to as X and he subcontracts from Y who then subcontracts from a massive house builder in the UK. X had been booking in work with Y and the work hadn't been done so when Y found out they said he wouldn't be getting anymore more money to pay his 13 guys wages. So now my partner hasn't been paid £1800 after tax becuase of this. Apparently X doesn't have the money and he owes Y over £30k. My partner has tried to contact X and be reasonable about it but he started off saying my partner was at the top of his priority list and he would be paid the money, it is now 3 weeks later and X is ignoring calls and texts. Never in our lives have we struggled like this, we are a large family my partner and I have 8 children together and have now had to use a food bank for the last 2 weeks which we have never had to do as we have been pay check to pay check since covid as we didn't take any of the gouverment grants and this has massively set us back. Please can someone help, what can we do, can I persue X, Y and the massive UK house builder? Should I call. The massive UK house builder and speak to them and let them know the kind of guy that has been subcontracted? Would they even care? We can't let this just be accepted as a loss of £1800 as its put us in debt and it has really affected our family massively. Many Thanks in advance for anyone who takes the time to read and respond.
Q3	Good Evening, I am in an extremely difficult situation and I'm looking for a specialist lawyer who can help me with the following: Company A is a trading company that has been in business since 2008 and has been liquidated in 2023. Company B is a property company that has been in business since 2020. We are currently in liquidation with Company A, and one of the creditors is a bank due to an RLS loan. This loan is a cross-guarantee, which means that in case of liquidation, the property company is liable to pay this amount. Background: Company A gave an intercompany loan to Company B to facilitate the purchase of an industrial unit. As Company A is in liquidation, the insolvency practitioner will be asking for the loan amount to be repaid. This means that not only is Company B liable to pay the RLS, but they will also be liable to pay the intercompany loan along with the mortgage on Company B. This puts Company B in a difficult position, and the liquidators are putting pressure on them and asking to put Company B into administration with them. This way, they can sell the industrial unit and I will lose everything I have worked for over the last 17 years. I am here to get some advice, help, and support, but I feel like I have lost it all. Is there any point in carrying on....?
Q4	I know that LTD company debts, stay with the LTD company, and a personal individual cannot be chased for this. What happens when it's the other way round. A personal debt against an individual who is the sole director of multiple LTD companies? Can company assets be seized to pay a personal debt?
Q5	I posted a thread s few weeks back about "closing my ltd company and who to pay" and got some really helpful advice. Today I got a phone call from a debt collection agency, on behalf of Utility Bidder ( a comparison site for business energy) who I went thru when energy prices were rising and I wanted to secure the best price. Apparently I have broken the contract by not seeing out the whole 3 yr term and they're chasing me for about 1k inc vat. I told him I had applied to companies House to dissolve the company and he told me I wouldn't be able to because I have this outstanding debt with them and I should see an insolvency practitioner. When I told him that I wasnt going to spend 2k+ to settle a 1k debt ,he suggested a payment plan. I asked for time to get some advice because obviously the company has no money with which to pay. He suggested that I should "find the money from somewhere". I was a very small bakery and essentially all the equipment was mine, most of it I owned before I set up, some I bought but with my own money, and I used the company money to buy mainly ingredients and small things like replacement knives/bowls. I stopped trading on 24th Dec, I gave notice on my unit and moved out on 18th Jan. I have not traded since and there is no outstanding payments due for goods i supplied. Do I just stick to my guns and let it run its course till they run out of steam?
Q6	A creditor committee had been formed a few months ago in a quick time, without involving any voting or consent from the creditors. We have found the creditor committee is not doing thing for the best interest of the creditors. We may take the following action. 1. To remove some existing members and to be replaced by some others. 2. To add some new members. Can we do it and how can we do it? Thanks
Q7	We have a ltd company with 2 shareholders/directors. Unfortunately over the last year work has really quietened down. Also the other shareholder/director would like to leave the company for new ventures. This would leave us in a position where the business could no longer carry on. We have no debt and no overdrawn directors accounts. we didn't take any bounce back loans. All vat bills would be paid as would Cox. The only thing we wouldnt have enough money for is to terminate our telecoms contract which has 7 years left. (they are completely unreasonable and not budging) Would we require liquidators purely for this reason? Thanks.
Q8	We've screwed up. We informed our landlord that we would like to execute a break clause in our lease (5 year contract with a 3-year break). As per our lease agreement, we need to provide the landlord at least 3 months notice on the break. We informed them 7 days too late to conform to that requirement (i.e. we've given them 2 months and 3 weeks notice). The person this fell to was out-of-action last week, when they were supposed to do this. Landlord is holding this against us, saying that we are too late, and are liable for the final 2 years. Note, we'd discussed this with the landlord several months ago, that we were looking to get out of the lease sooner as we no longer had enough space to operate effectively. The landlord even arranged viewings for prospective tenants. But we did not formally request it until today (too late). Where do we stand on this?
Q9	Business has been a LTD Company since 2014 with good trading history in retail/B2B. Like many we suffered during covid after being closed and not being able to trade as normal. We restructured in some ways but still required retail store. We have recently had to close the retail store Nov 22 to reduce costs and restructure our customer base more towards B2B clients. After 3 months trading from a new non retail location we have come to the conclusion the business is no longer viable for various reasons. Business has 2 equal directors. BBL Natwest balance around £14k which has been paid consistently until Jan when we had to take a payment holiday to help with cash flow. We have an OD with bank of around 6K which has a directors guarantee, we could probably cover this with sale of assets. CH & HMRC in good order. A few outstanding invoices from the closure retail store for around 7K, asset sale won't cover. Two lease cars both with 1 year each left on lease but leased via LTD company with no directors guarantee that we can see in the paperwork. Our customer base has pretty much dried up and the customers we do have are being very careful on what they spend since cost of living issue hit the media, so although we are trading we struggle with cash flow on a daily basis. I know these amounts are not huge but we feel like we are fighting a loosing battle and want to look at options of closing the business or selling it and moving on. But have no idea where to start. This I'm sure is a very common story after recent events and I never thought I would ever be even contemplating these options but it feels like the only option. Have read a few posts and seen the SpongeBob post but don't know what to do for best. Have a meeting with accountant soon to discuss but would be great-full for any advise. TIA
Q10	Hi everyone, long time lurker here. Fortunately, I've never needed to read this subsection until now! Bit of a backstory: I've been running a limited co for 6 years now, I've always had a bit of a hard time getting a hold of the accountants despite paying monthly retainers but the last couple of years have been particularly bad, late filings, no call backs and so on. I've recently switched to a new practice who have reviewed my accountants in full and immediately flagged a horrific situation. The accounts were a mess. The tax liabilities were much higher than expected and it turns out, I've unknowingly taken illegal dividends to the sum of 35k. I've spoken to a local liquidator who has stressed that this needs handled and I will be forced into personal bankruptcy, no question. I have no assets, everything was sold to keep the business going post-covid. Beyond the dividends, I owe personal tax. There's about 15k worth of equipment in the business and cash in the bank or due in. The top line has done well over the years but in the current climate, it will be almost impossible for the company to earn its way out of things. I'm wondering if there's any independent advice I could get? I'm terrified that if I go bankrupt, it will ruin my future prospects and could have been avoided. Thanks
